"week","General Message Type","SMS Message Topic","General Message Type","SMS Message Topic","General Message Type","SMS Message Topic","text","Charac count (max 140)","hiv","Charac count (max 140)","Source/Notes","Source/Notes"
5,"Health indicator","Congratulations ",,,"Health indicator","Congratulations ","Congrats on your pregnancy! 2 key things to do now that you're pregnant: eat plenty of fruit and vegetables, and know your HIV status.
Visit askmama.mobi",153,,,"Seumo, E.F. and Abdallah F. Nutritional Counseling for Pregnant Women in Tanzania. USAID, ACCESS.
Black R.E.  et al. Maternal and child undernutrition: global and regional exposures and health consequences.Lancet 2008; 371: 243-60 doi: 10.1016/S0140-6736(07)61690-0 pmid:18207566
Victora CG et.al. Worldwide timing of growth faltering: Revisiting implications for interventions.
Pediatrics 2010; 125:e473-e480.
Kramer MS. Determinants of low birth weight: methodological assessment and meta-analysis. Bull World Health Organ 1987; 65: 663–737
Kramer MS, Victora C. Low birth weight and perinatal mortality. In: Semba RD, Bloem MW, eds. Nutrition and health in developing countries. Humana Press, 2001
WHO. 2011. Background Paper 2 - A Review of health interventions with an effect on nutrition
pdf, 1.51Mb
Langiano, E. 2011. Food safety at home: knowledge and practices of consumers. Journal of Public Health: 1-11.
Blössner and de Onis,2005. “Malnutrition - Quantifying the health impact at national and local levels”, Environmental Burden of Disease Series, No. 12.
UNICEF (2008). Progress for Children - A Report Card on Maternal Mortality.
",
5,"Fetal development","5 week update",,,"Fetal development","5 week update","Good morning! Your baby is only just the size of a very small bean, but he already has tiny hands and feet. His heart is beating twice as fast as yours.
MAMA",157,,,"http://www.babycentre.co.uk/",
6,"Parent tip","Marie Stopes",,,"Parent tip","Marie Stopes","Hi there. It's early in your pregnancy but you might already be feeling tired, nauseous, and going to the toilet more. Your body is changing!
Visit askmama.mobi",160,,,"Centre of AIDS Development, Research and Evaluation (CADRE) for the DOH SA. 2003. Rape and Post-Exposure Prophylaxis in South Africa: A Review
A. Moultrie et al. Women's Mental Health in South Africa
Perinatal Mental Health Project. 2008. Integrating Mental Health into Maternal Care in South Africa.
Rape Survival Journey. 2011. Rape Statistics - South Africa and Worldwide. Accessed 22/02/2012 http://www.rape.co.za/index.php?option=com_content&task=view&id=875
Statistics South Africa January-March 2011. 'Victims of Crime Survey'
WHO. World Report on Violence and Health
WHO. 2003. Guidelines for Medico-Legal Care for Victims of Sexual Violence
WHO. 2011. Factsheet: Violence against women - Intimate partner and sexual violence against women
",
6,"Health indicator","Eating well + coping with nausea",,,"Health indicator","Eating well + coping with nausea","How are you today? Eat lots of chicken, red meat, fruit & vegetables (especially green ones) to help keep you & your baby well. Feeling sick? Add lemon to tea.",159,,,"Seumo, E.F. and Abdallah F. Nutritional Counseling for Pregnant Women in Tanzania. USAID, ACCESS.
Black R.E.  et al. Maternal and child undernutrition: global and regional exposures and health consequences.Lancet 2008; 371: 243-60 doi: 10.1016/S0140-6736(07)61690-0 pmid:18207566
Victora CG et.al. Worldwide timing of growth faltering: Revisiting implications for interventions.
Pediatrics 2010; 125:e473-e480.
Kramer MS. Determinants of low birth weight: methodological assessment and meta-analysis. Bull World Health Organ 1987; 65: 663–737
Kramer MS, Victora C. Low birth weight and perinatal mortality. In: Semba RD, Bloem MW, eds. Nutrition and health in developing countries. Humana Press, 2001
WHO. 2011. Background Paper 2 - A Review of health interventions with an effect on nutrition
pdf, 1.51Mb
Langiano, E. 2011. Food safety at home: knowledge and practices of consumers. Journal of Public Health: 1-11.
Blössner and de Onis,2005. “Malnutrition - Quantifying the health impact at national and local levels”, Environmental Burden of Disease Series, No. 12.
UNICEF (2008). Progress for Children - A Report Card on Maternal Mortality.
",
7,"Fetal development","7 week update",,,"Fetal development","7 week update","Hello! At almost 2 months pregnant, your baby’s heart and brain are growing, eyelids are forming and the arms now bend at the elbows!
Visit askmama.mobi",153,,,"http://www.babycentre.co.uk/",
7,"Health indicator","Hygiene - handwashing",,,"Health indicator","Hygiene - handwashing","Good morning from MAMA. Your health is important. Wash your hands well with soap after using the toilet - It can prevent up to one third of upset stomachs.",155,,,"Van Wyk, R. 2007. ""A review of health and hygiene promotion as part of sanitation delivery programmes to informal settlements in the City of Cape Town"". CPUT Theses & Dissertations. Paper 48.
http://dk.cput.ac.za/td_cput/48
Duse, AG et al. 2003. Coping with hygiene in South Africa, a water scarce country. International Journal of Environmental Health Research. Volume 13, Supplement 001: S95-S105.
24th WEDC Conference. 1998. Sanitation and Water for All. Operation and Maintenance of Water and Sanitation Facilities. Ntombentle Zungula, South Africa.
Langiano, E. 2011. Food safety at home: knowledge and practices of consumers. Journal of Public Health: 1-11.
FDA. Food Safety for Moms-to-Be- Educator’s Resource Guide. www.cfsan.fda.gov/pregnancy.html Journal of Diarrhoeal Diseases Research, 14:2. 1996.
UNICEF, The London School of Hygiene and Tropical Medicine. 1999. Towards Better programming - A manual on hygiene promotion.
Phaswana-Mafuya, N. and Shukla N. Factors that could motivate people to adopt safe hygienic practices in the Eastern Cape Province, South Africa. Afr Health Sci. 2005 March; 5(1): 21–28
Ejemot et al. 2008. 'Handwashing to prevent Diarrhoea', Cochrane Database of Systematic Reviews, 23;(1):CD004265
Fewtrell, Kaufmann et al (2005). 'Water, sanitation, and hygiene interventions to reduce diarrhea in less developed countries: A systematic review and meta analysis', The Lancet Infectious Diseases, 5 (1):42-52.
",
8,"Parent tip","Bleeding during pregnancy",,,"Parent tip","Bleeding during pregnancy","Spotting or light bleeding is worrying but very common in early pregnancy. If you have bleeding with pain, contact your clinic immediately.
Visit askmama.mobi",159,,,"http://www.babycentre.co.uk/",
8,"Health indicator","ANC/HIV test","Health Indicator","Pregnancy guide for women with HIV","Health indicator","ANC/HIV test","Hello mom-to-be. It's good to go to the clinic as soon as you know you're pregnant, as they're there to help you and your baby stay well throughout pregnancy.",158,"Good day good mom. PMTCT means preventing a mother from infecting her baby with HIV. You can get it free at the clinic. HIV+ moms can have HIV-negative babies.",159,"Department of Health Republic of South Africa. 2007. Guidelines for Maternity Care in South Africa
http://www.who.int/mediacentre/factsheets/fs290/en/
 http://www.who.int/making_pregnancy_safer/countries/soa.pdf
Who, 2008; http://www.who.int/mediacentre/factsheets/fs134/en/
USAID. Counselling cards for maternal and neonatal health for community health workers
","Department of Health Republic of South Africa. 2007. Guidelines for Maternity Care in South Africa
http://www.who.int/mediacentre/factsheets/fs290/en/
 http://www.who.int/making_pregnancy_safer/countries/soa.pdf
Who, 2008; http://www.who.int/mediacentre/factsheets/fs134/en/
USAID. Counselling cards for maternal and neonatal health for community health workers"
9,"Fetal development","9 week update",,,"Fetal development","9 week update","Help baby grow by not smoking, eating well & going to your antenatal clinic checkups. Hard to give up smoking or alcohol? Call 0800121314
Visit askmama.mobi",156,"Recently diagnosed with HIV? Give yourself time to get used to it. No one can see it. Many pregnant women go through this - you are not alone
Visit askmama.mobi",160,"http://www.babycentre.co.uk/",
9,"Health indicator","Diet & nutrition",,,"Health indicator","Diet & nutrition","Hello! You & your baby need iron to stay well. Try to eat beans, dark green leafy veg or red meat every day. No appetite? Try small meals, but plenty of them.",158,,,"Inch S. 2009. Infant feeding. In: Fraser DM, Cooper MA. eds. Myles Textbook for Midwives. 15th ed. Edinburgh: Churchill Livingstone, 785-816
Murray I, Hassall J. 2009. Change and adaptation in pregnancy. In: Fraser DM, Cooper MA. eds. Myles Textbook for Midwives. 15th ed. Edinburgh: Churchill Livingstone, 189-225
NHS Choices. 2009. Breastfeeding. NHS Choices, Health A-Z. www.nhs.uk[Accessed December 2009]
NICE. 2006. Routine postnatal care of women and their babies. National Institute of Health and Clinical Excellence, Clinical guideline 37. www.nice.org.uk [pdf file, accessed December 2009]
",
